id,name,category,type,price
267,鶏つくね串,food,friedfood,135
268,ハッシュドポテト,food,friedfood,100
269,ファミコロ（牛肉コロッケ）,food,friedfood,80
270,鶏天,food,friedfood,138
271,炭火焼きとり　ねぎま（タレ）,food,friedfood,140
272,チーズつくね串,food,friedfood,135
273,Wチーズメンチカツ,food,friedfood,150
274,とろーりカレーコロッケ,food,friedfood,100
275,新炭火焼きとりねぎま塩,food,friedfood,140
276,ポテサラハムカツ,food,friedfood,138
277,タレチキ（タルタルソース入り）,food,friedfood,220
278,ころじゃが（のり塩味）,food,friedfood,158
279,グリルサラダチキン,food,friedfood,100
280,グラタンコロッケ,food,friedfood,128
281,照焼チキンステーキ,food,friedfood,198
282,ファミマプレミアムチキン（骨付き）,food,friedfood,250
283,クリスピーチキン（ハバネロホット）,food,friedfood,145
284,炭火焼きとり　かわ（タレ）,food,friedfood,130
285,炭火焼きとり　もも（塩）,food,friedfood,130
286,炭火焼きとり　もも（タレ）,food,friedfood,130
287,ジューシーメンチカツ,food,friedfood,128
288,厚切りハムカツ,food,friedfood,128
289,クリスピーチキン（プレーン）,food,friedfood,145
290,ジャンボフランク,food,friedfood,160
